1.3414157228875337e-19, 32613107.469481643
2.3813980446908006e-19, 60269957.15349835
4.227665257307209e-19, 111380607.89465341
7.506758103388489e-19, 182044073.4392687
1.3328353636693378e-18, 309973156.4601011
2.366165443554315e-18, 572839275.6215289
4.2008913613660776e-18, 1016157221.6132379
7.45826471182462e-18, 1802557092.3299448
1.3240561220866804e-17, 3331177160.0765862
2.350880098565346e-17, 5672118182.859674
4.173753751908303e-17, 10061746983.22325
7.409137933321315e-17, 19371474240.79147
1.3155868034714939e-16, 31661364989.61308
2.335395107035459e-16, 60956344593.76151
4.1454671759176286e-16, 122261234541.97467
7.359394450670159e-16, 225942264909.10178
1.3059197260334123e-15, 556122209538.3191
2.316901948221825e-15, 1547692726109.0176
4.108701856185345e-15, 5736715386247.221
7.285743189921437e-15, 22152484757641.445
1.2918596897981368e-14, 89117330540692.64
2.2910789932317527e-14, 317073649477738.75
4.062908453844168e-14, 1175272877391798.5
7.207762481775815e-14, 3407483768157662.5
1.2781959595029015e-13, 12630261957954564
2.2674260279771606e-13, 38149427078157830
4.022247726669185e-13, 115229501275316420
7.133805657572529e-13, 393532934923556800
1.2654848817392117e-12, 1188657531704204500
2.2445907194640686e-12, 3896669468608215600
3.981230886757003e-12, 12774102331908840000
7.0628632032561184e-12, 37036119173754450000
1.2528201771057952e-11, 116541798249772070000
2.2219853859571785e-11, 398014704558356560000
3.941639355411174e-11, 1.2021946178258597e+21
6.992179564418387e-11, 3.631202271114987e+21
1.2402029914059555e-10, 1.1903845007323512e+22
2.2000292848544363e-10, 3.59553007347228e+22
3.9024415438466793e-10, 1.1314077980409334e+23
6.921761135961482e-10, 3.708992796983761e+23
1.227791302575624e-9, 1.167111187400678e+24
2.177872730754037e-9, 3.672556400927905e+24
3.862646426552144e-9, 1.2542551023251266e+25
6.852489616724101e-9, 3.636477948667091e+25
1.2155814762116836e-8, 1.0983901267117675e+26
2.156077041795476e-8, 3.6007539238337794e+26
3.8244784637916414e-8, 1.1330515904481795e+27
6.783478009487622e-8, 3.714381494329466e+27
1.203493071020472e-7, 1.0337154535763229e+28
2.1967201906039255e-7, 3.5593814037906413e+28
3.609959739412959e-7, 9.508422015626826e+28
7.389500703991716e-7, 4.117685903625152e+29
0.0000013105921243798208, 1.4062761713037835e+30
0.0000023248944520497367, 4.247626092593994e+30
0.000004124192502476192, 1.2829860727681933e+31
0.0000073164828409666016, 3.7197780207707122e+31
0.0000129733786533849, 1.476147945820117e+32
0.00002300744776165046, 5.325132163489824e+32
0.000036652559706037716, 1.370081910120468e+33
0.00006273143298848538, 3.799466087352097e+33
